Município: GUARANTA DO NORTE, (null), Latitude: None, Longitude: None
Município: RODEIO, SC, Latitude: -26.9233304, Longitude: -49.3685354
Município: SANGAO, SC, Latitude: -28.6397512, Longitude: -49.1266106
Município: SANTA CECILIA, SC, Latitude: -26.9658952, Longitude: -50.4182571
Município: SANTA ROSA DO SUL, SC, Latitude: -29.1354955, Longitude: -49.7154188
Município: SANTA TEREZINHA, SC, Latitude: -26.7813, Longitude: -50.009017
Município: SANTO AMARO DA IMPERATRIZ, SC, Latitude: -27.6865324, Longitude: -48.7769405
Município: SAO BENTO DO SUL, SC, Latitude: -26.2483669, Longitude: -49.3820672
Município: SAO BONIFACIO, SC, Latitude: -27.900907, Longitude: -48.932608
Município: SAO CRISTOVAO DO SUL, SC, Latitude: -27.2670093, Longitude: -50.4409508
Município: SAO DOMINGOS, SC, Latitude: -26.5593237, Longitude: -52.5311718
Município: SAO FRANCISCO DO SUL, SC, Latitude: -26.2495087, Longitude: -48.6308087
Município: SAO JOAO BATISTA, SC, Latitude: -27.277547, Longitude: -48.8496101
Município: SAO JOAO DO SUL, SC, Latitude: -29.2246601, Longitude: -49.8081785
Município: RIO DO SUL, SC, Latitude: -27.2162607, Longitude: -49.643654
Município: PRESIDENTE GETULIO, SC, Latitude: -27.0426247, Longitude: -49.6210429
Município: SAO JOSE DO CEDRO, SC, Latitude: -26.4555904, Longitude: -53.4954785
Município: POUSO REDONDO, SC, Latitude: -27.2567443, Longitude: -49.9331593
Município: PAPANDUVA, SC, Latitude: -26.4085449, Longitude: -50.1424094
Município: PARAISO, SC, Latitude: -26.6180705, Longitude: -53.6743943
Município: PASSO DE TORRES, SC, Latitude: -29.325393, Longitude: -49.7218979
Município: PASSOS MAIA, SC, Latitude: -26.7806434, Longitude: -52.0611058
Município: PAULO LOPES, SC, Latitude: -27.964968, Longitude: -48.6830299
Município: PENHA, SC, Latitude: -26.775418, Longitude: -48.6465251
Município: PESCARIA BRAVA, SC, Latitude: -28.3845591, Longitude: -48.8658054
Município: PICARRAS, SC, Latitude: -26.7638889, Longitude: -48.6716667
Município: PINHALZINHO, SC, Latitude: -26.852586, Longitude: -52.9872478
Município: POMERODE, SC, Latitude: -26.7356218, Longitude: -49.1770095
Município: PONTE ALTA, SC, Latitude: -27.483497, Longitude: -50.376404
Município: PONTE ALTA DO NORTE, SC, Latitude: -27.1626096, Longitude: -50.4684028
Município: PONTE SERRADA, SC, Latitude: -26.8708566, Longitude: -52.0164089
Município: PORTO BELO, SC, Latitude: -27.1542415, Longitude: -48.5424395
Município: PORTO UNIAO, SC, Latitude: -26.2336416, Longitude: -51.082771
Município: SAO JOSE, SC, Latitude: -27.6157733, Longitude: -48.6276491
Município: SAO JOSE DO CERRITO, SC, Latitude: -27.6627041, Longitude: -50.5791762
Município: MARUIM, SE, Latitude: -10.7372604, Longitude: -37.0817469
Município: XANXERE, SC, Latitude: -26.8748603, Longitude: -52.4035964
Município: AMPARO DE SAO FRANCISCO, SE, Latitude: -10.20031285, Longitude: -36.93268971533844
Município: AQUIDABA, SE, Latitude: -10.2837579, Longitude: -37.0188687
Município: ARACAJU, SE, Latitude: -10.9162061, Longitude: -37.0774655
Município: AREIA BRANCA, SE, Latitude: -10.7591455, Longitude: -37.3148072
Município: CAPELA, SE, Latitude: -10.50494, Longitude: -37.0552566
Município: CARIRA, SE, Latitude: -10.358303, Longitude: -37.701473
Município: CARMOPOLIS, SE, Latitude: -10.64835, Longitude: -36.98493
Município: CEDRO DE SAO JOAO, SE, Latitude: -10.2506778, Longitude: -36.8816067
Município: CRISTINAPOLIS, SE, Latitude: -11.4757019, Longitude: -37.7555212
Município: ESTANCIA, SE, Latitude: -11.2682255, Longitude: -37.4378341
Município: FREI PAULO, SE, Latitude: -10.549956, Longitude: -37.5356071
Município: ITABAIANA, SE, Latitude: -10.6856197, Longitude: -37.4270517
Município: ITAPORANGA DAJUDA, SE, Latitude: None, Longitude: None
Município: JAPARATUBA, SE, Latitude: -10.5934888, Longitude: -36.941514
Município: LARANJEIRAS, SE, Latitude: -10.8040231, Longitude: -37.1658336
Município: XAXIM, SC, Latitude: -26.9605363, Longitude: -52.5335505
Município: VIDEIRA, SC, Latitude: -27.00544, Longitude: -51.1533733
Município: SAO LOURENCO DO OESTE, SC, Latitude: -26.35566, Longitude: -52.849837
Município: VARGEM BONITA, SC, Latitude: -27.005456, Longitude: -51.740238
Município: SAO MIGUEL DO OESTE, SC, Latitude: -26.7278977, Longitude: -53.5176689
Município: SAO MIGUEL DOESTE, SC, Latitude: None, Longitude: None
Município: SAO PEDRO DE ALCANTARA, SC, Latitude: -27.5676985, Longitude: -48.8047973
Município: SAUDADES, SC, Latitude: -26.9261779, Longitude: -53.0046945
Município: SOMBRIO, SC, Latitude: -29.107985, Longitude: -49.632776
Município: TAIO, SC, Latitude: -27.1167574, Longitude: -50.0002159
Município: TIJUCAS, SC, Latitude: -27.239404, Longitude: -48.6353696
Município: TIMBE DO SUL, SC, Latitude: -28.8300122, Longitude: -49.8466056
Município: TIMBO, SC, Latitude: -26.8282737, Longitude: -49.270641
Município: TRES BARRAS, SC, Latitude: -26.105632, Longitude: -50.319692
Município: TREZE DE MAIO, SC, Latitude: -28.5574415, Longitude: -49.1447586
Município: TROMBUDO CENTRAL, SC, Latitude: -27.3040981, Longitude: -49.79316
Município: TUBARAO, SC, Latitude: -28.471488, Longitude: -49.014132
Município: VARGEAO, SC, Latitude: -26.861277, Longitude: -52.1544966
Município: VARGEM, SC, Latitude: -27.4909659, Longitude: -50.9781096
Município: PALMITOS, SC, Latitude: -27.0711023, Longitude: -53.1596594
Município: PALMA SOLA, SC, Latitude: -26.3482487, Longitude: -53.2775974
Município: PALHOCA, SC, Latitude: -27.6447774, Longitude: -48.6646323
Município: CORUPA, SC, Latitude: -26.4267153, Longitude: -49.24747
Município: CUNHA PORA, SC, Latitude: -26.8927163, Longitude: -53.1716516
Município: CURITIBANOS, SC, Latitude: -27.2900659, Longitude: -50.5779683
Município: DESCANSO, SC, Latitude: -26.8246854, Longitude: -53.5017586
Município: DIONISIO CERQUEIRA, SC, Latitude: -26.2604681, Longitude: -53.6346379
Município: ERMO, SC, Latitude: -28.9849219, Longitude: -49.6427198
Município: ERVAL VELHO, SC, Latitude: -27.2747859, Longitude: -51.4429712
Município: FAXINAL DOS GUEDES, SC, Latitude: -26.8494222, Longitude: -52.2586485
Município: FLOR DO SERTAO, SC, Latitude: -26.7784693, Longitude: -53.3478823
Município: FLORIANOPOLIS, SC, Latitude: -27.5973002, Longitude: -48.5496098
Município: FRAIBURGO, SC, Latitude: -27.023288, Longitude: -50.919978
Município: FREI ROGERIO, SC, Latitude: -27.175021, Longitude: -50.807621
Município: GAROPABA, SC, Latitude: -28.0274798, Longitude: -48.6240197
Município: GARUVA, SC, Latitude: -26.0294904, Longitude: -48.8545202
Município: GASPAR, SC, Latitude: -26.9307306, Longitude: -48.9566824
Município: GOVERNADOR CELSO RAMOS, SC, Latitude: -27.317161, Longitude: -48.557608
Município: CRICIUMA, SC, Latitude: -28.6789941, Longitude: -49.3695627
Município: CORREIA PINTO, SC, Latitude: -27.587688, Longitude: -50.361448
Município: OTACILIO COSTA, SC, Latitude: -27.4832304, Longitude: -50.1195204
Município: CORONEL FREITAS, SC, Latitude: -26.9058932, Longitude: -52.7028055
Município: BRUSQUE, SC, Latitude: -27.0964628, Longitude: -48.9136323
Município: CACADOR, SC, Latitude: -26.77567, Longitude: -51.0120041
Município: CAIBI, SC, Latitude: -27.0751925, Longitude: -53.2502133
Município: CAMBORIU, SC, Latitude: -27.0273601, Longitude: -48.6535657
Município: CAMPO ERE, SC, Latitude: -26.3947432, Longitude: -53.0790495
Município: CAMPOS NOVOS, SC, Latitude: -27.3962904, Longitude: -51.2224397
Município: CANELINHA, SC, Latitude: -27.2660341, Longitude: -48.7666708
Município: CANOINHAS, SC, Latitude: -26.1755121, Longitude: -50.3949592
Município: CAPAO ALTO, SC, Latitude: -27.9382827, Longitude: -50.511491
Município: CAPIVARI DE BAIXO, SC, Latitude: -28.449773, Longitude: -48.963144
Município: CATANDUVAS, SC, Latitude: -27.0689719, Longitude: -51.660158
Município: CELSO RAMOS, SC, Latitude: -27.6335797, Longitude: -51.3368111
Município: CHAPECO, SC, Latitude: -27.0922364, Longitude: -52.6166878
Município: CONCORDIA, SC, Latitude: -27.2312011, Longitude: -52.0231024
Município: CORDILHEIRA ALTA, SC, Latitude: -26.9853947, Longitude: -52.603549
Município: GUARACIABA, SC, Latitude: -26.6001986, Longitude: -53.5216209
Município: GUARAMIRIM, SC, Latitude: -26.4744805, Longitude: -48.9981151
Município: GUARUJA DO SUL, SC, Latitude: -26.3850268, Longitude: -53.527794
Município: HERVAL DOESTE, SC, Latitude: -26.9258311, Longitude: -49.1226377
Município: JOINVILLE, SC, Latitude: -26.3044898, Longitude: -48.8486726
Município: LAGES, SC, Latitude: -27.8165664, Longitude: -50.325883
Município: LAGUNA, SC, Latitude: -28.4837443, Longitude: -48.7816572
Município: LAURENTINO, SC, Latitude: -27.2193231, Longitude: -49.7322856
Município: LONTRAS, SC, Latitude: -27.1679891, Longitude: -49.5424602
Município: LUIZ ALVES, SC, Latitude: -26.7118577, Longitude: -48.9126756
Município: MAFRA, SC, Latitude: -26.1150943, Longitude: -49.8035982
Município: MARACAJA, SC, Latitude: -28.8628566, Longitude: -49.449388
Município: MARAVILHA, SC, Latitude: -26.7623898, Longitude: -53.1747387
Município: MONTE CARLO, SC, Latitude: -27.2216645, Longitude: -50.9784032
Município: MONTE CASTELO, SC, Latitude: -26.460989, Longitude: -50.232724
Município: MORRO DA FUMACA, SC, Latitude: -28.6522275, Longitude: -49.2133979
Município: NAVEGANTES, SC, Latitude: -26.8898813, Longitude: -48.6495828
Município: NOVA ERECHIM, SC, Latitude: -26.9027688, Longitude: -52.9071258
Município: NOVA ITABERABA, SC, Latitude: -26.9406956, Longitude: -52.8132923
Município: JOACABA, SC, Latitude: -27.1737204, Longitude: -51.5065214
Município: JARAGUA DO SUL, SC, Latitude: -26.4897432, Longitude: -49.0778063
Município: JAGUARUNA, SC, Latitude: -28.6237365, Longitude: -49.0288664
Município: IPUMIRIM, SC, Latitude: -27.0762287, Longitude: -52.135736
Município: IBIRAMA, SC, Latitude: -27.0537021, Longitude: -49.5190771
Município: ICARA, SC, Latitude: -28.7116553, Longitude: -49.2971441
Município: ILHOTA, SC, Latitude: -26.9022824, Longitude: -48.8284968
Município: IMARUI, SC, Latitude: -28.3440491, Longitude: -48.8151737
Município: IMBITUBA, SC, Latitude: -28.241827, Longitude: -48.6643444
Município: INDAIAL, SC, Latitude: -26.8901747, Longitude: -49.2416736
Município: IRACEMINHA, SC, Latitude: -26.8237077, Longitude: -53.272834
Município: JABORA, SC, Latitude: -27.1743246, Longitude: -51.7348631
Município: IRANI, SC, Latitude: -27.0230476, Longitude: -51.9010675
Município: IRINEOPOLIS, SC, Latitude: -26.242006, Longitude: -50.795687
Município: ITAIOPOLIS, SC, Latitude: -26.3391899, Longitude: -49.9071983
Município: ITAJAI, SC, Latitude: -26.9046787, Longitude: -48.6552979
Município: ITAPEMA, SC, Latitude: -27.09472, Longitude: -48.6137778
Município: ITUPORANGA, SC, Latitude: -27.4096219, Longitude: -49.6014812
Município: MALHADA DOS BOIS, SE, Latitude: -10.3450779, Longitude: -36.9206659
Município: MURIBECA, SE, Latitude: -10.4227085, Longitude: -36.9567299
Município: TANGARA, RN, Latitude: -6.19649, Longitude: -35.798888
Município: TAUBATE, SP, Latitude: -23.031448, Longitude: -45.5612792
Município: UBATUBA, SP, Latitude: -23.433162, Longitude: -45.083415
Município: UBIRAJARA, SP, Latitude: -22.5261054, Longitude: -49.6635412
Município: URUPES, SP, Latitude: -21.2027026, Longitude: -49.2921996
Município: VARGEM, SP, Latitude: -22.8902379, Longitude: -46.4145366
Município: VERA CRUZ, SP, Latitude: -22.2212638, Longitude: -49.8243021
Município: ABREULANDIA, TO, Latitude: -9.6221526, Longitude: -49.1558343
Município: AGUIARNOPOLIS, TO, Latitude: -6.5600452, Longitude: -47.4721189
Município: ALIANCA DO TOCANTINS, TO, Latitude: -11.3055927, Longitude: -48.9409096
Município: ALVORADA, TO, Latitude: -29.9981184, Longitude: -51.0772509
Município: ARAGUAINA, TO, Latitude: -7.193241, Longitude: -48.2018597
Município: ARAGUATINS, TO, Latitude: -5.6529384, Longitude: -48.1161923
Município: BARROLANDIA, TO, Latitude: -9.837246, Longitude: -48.7264346
Município: BRASILANDIA DO TOCANTINS, TO, Latitude: -8.3886619, Longitude: -48.4842729
Município: CACHOEIRINHA, TO, Latitude: -29.9493353, Longitude: -51.0898927
Município: CARIRI DO TOCANTINS, TO, Latitude: -11.8882727, Longitude: -49.1604216
Município: UBARANA, SP, Latitude: -21.1637674, Longitude: -49.7167796
Município: TABOAO DA SERRA, SP, Latitude: -23.6121912, Longitude: -46.7790539
Município: CRIXAS DO TOCANTINS, TO, Latitude: -11.1039404, Longitude: -48.918827
Município: SILVEIRAS, SP, Latitude: -22.66384, Longitude: -44.852157
Município: REGISTRO, SP, Latitude: -24.497942, Longitude: -47.844895
Município: RIBEIRAO DO SUL, SP, Latitude: -22.7861813, Longitude: -49.9285258
Município: RIO DAS PEDRAS, SP, Latitude: -22.8441256, Longitude: -47.6065667
Município: ROSEIRA, SP, Latitude: -22.8980898, Longitude: -45.3093218
Município: RUBINEIA, SP, Latitude: -20.1718325, Longitude: -50.9995571
Município: SALTO GRANDE, SP, Latitude: -22.8878776, Longitude: -49.9837107
Município: SANTA CRUZ DO RIO PARDO, SP, Latitude: -22.9060715, Longitude: -49.6277378
Município: SANTA ISABEL, SP, Latitude: -23.3194222, Longitude: -46.2271903
Município: SAO BERNARDO DO CAMPO, SP, Latitude: -23.7080345, Longitude: -46.5506747
Município: SAO JOSE DO RIO PARDO, SP, Latitude: -21.595288, Longitude: -46.887303
Município: SAO JOSE DO RIO PRETO, SP, Latitude: -20.8125851, Longitude: -49.3804212
Município: SAO JOSE DOS CAMPOS, SP, Latitude: -23.1867782, Longitude: -45.8854538
Município: SAO LOURENCO DA SERRA, SP, Latitude: -23.8535923, Longitude: -46.9440587
Município: SAO PAULO, SP, Latitude: -23.5506507, Longitude: -46.6333824
Município: SAO PEDRO DO TURVO, SP, Latitude: -22.745286, Longitude: -49.742829
Município: COLINAS DO TOCANTINS, TO, Latitude: -8.0612688, Longitude: -48.4716768
Município: DARCINOPOLIS, TO, Latitude: -6.7085964, Longitude: -47.7524283
Município: NOSSA SENHORA DE LOURDES, SE, Latitude: -10.0786746, Longitude: -37.0572176
Município: PALMEIRAS DO TOCANTINS, TO, Latitude: -6.6096035, Longitude: -47.546399
Município: PARANA, TO, Latitude: -12.616747, Longitude: -47.873378
Município: PEDRO AFONSO, TO, Latitude: -8.9757351, Longitude: -48.1733282
Município: PEIXE, TO, Latitude: -12.0390993, Longitude: -48.5392455
Município: PIRAQUE, TO, Latitude: -6.769831, Longitude: -48.2945507
Município: PRESIDENTE KENNEDY, TO, Latitude: -8.5340643, Longitude: -48.5060747
Município: PUGMIL, TO, Latitude: -10.4255161, Longitude: -48.8969824
Município: RIO DOS BOIS, TO, Latitude: -9.3412231, Longitude: -48.5349207
Município: SANTA RITA DO TOCANTINS, TO, Latitude: -10.8643623, Longitude: -48.9082979
Município: SANTA TEREZINHA DO TOCANTINS, TO, Latitude: -6.4356048, Longitude: -47.673061
Município: SAO BENTO DO TOCANTINS, TO, Latitude: -6.021853, Longitude: -47.900057
Município: SUCUPIRA, TO, Latitude: -11.9850885, Longitude: -48.9113689
Município: TALISMA, TO, Latitude: -12.797836, Longitude: -49.0929839
Município: TOCANTINOPOLIS, TO, Latitude: -6.3280931, Longitude: -47.4217673
Município: TUPIRAMA, TO, Latitude: -8.9746528, Longitude: -48.1887392
Município: WANDERLANDIA, TO, Latitude: -6.8522727, Longitude: -47.9653917
Município: PARAISO DO TOCANTINS, TO, Latitude: -10.1752474, Longitude: -48.886759
Município: PALMEIRANTE, TO, Latitude: -7.8582335, Longitude: -47.9264382
Município: DOIS IRMAOS DO TOCANTINS, TO, Latitude: -9.2539897, Longitude: -49.0665558
Município: PALMAS, TO, Latitude: -10.1837852, Longitude: -48.3336423
Município: DUERE, TO, Latitude: -11.341631, Longitude: -49.271566
Município: FATIMA, TO, Latitude: -10.7575656, Longitude: -48.9031328
Município: FIGUEIROPOLIS, TO, Latitude: -12.1347916, Longitude: -49.1737141
Município: FORMOSO DO ARAGUAIA, TO, Latitude: -11.8059989, Longitude: -49.5257153
Município: FORTALEZA DO TABOCAO, TO, Latitude: -9.0565211, Longitude: -48.5216745
Município: GUARAI, TO, Latitude: -8.835429, Longitude: -48.511432
Município: GURUPI, TO, Latitude: -11.72794, Longitude: -49.068046
Município: LUZINOPOLIS, TO, Latitude: -6.1918183, Longitude: -47.8562036
Município: MIRACEMA DO TOCANTINS, TO, Latitude: -9.5617939, Longitude: -48.3966536
Município: MIRANORTE, TO, Latitude: -9.529068, Longitude: -48.592222
Município: NATIVIDADE, TO, Latitude: -11.7089881, Longitude: -47.7284165
Município: NAZARE, TO, Latitude: -6.3733313, Longitude: -47.6632702
Município: NOVA OLINDA, TO, Latitude: -7.631712, Longitude: -48.425232
Município: NOVA ROSALANDIA, TO, Latitude: -10.565102, Longitude: -48.912477
Município: OLIVEIRA DE FATIMA, TO, Latitude: -10.7091365, Longitude: -48.9077446
Município: QUELUZ, SP, Latitude: -22.5371881, Longitude: -44.7752585
Município: PROMISSAO, SP, Latitude: -21.5404913, Longitude: -49.8574709
Município: PIQUETE, SP, Latitude: -22.6138451, Longitude: -45.1777096
Município: BARUERI, SP, Latitude: -23.5112184, Longitude: -46.8764612
Município: CACAPAVA, SP, Latitude: -23.099204, Longitude: -45.707645
Município: CACHOEIRA PAULISTA, SP, Latitude: -22.666498, Longitude: -45.015384
Município: CAJATI, SP, Latitude: -24.7272376, Longitude: -48.1077914
Município: CAMPINAS, SP, Latitude: -22.90556, Longitude: -47.06083
Município: CAMPOS NOVOS PAULISTA, SP, Latitude: -22.601952, Longitude: -49.998726
Município: CANANEIA, SP, Latitude: -25.0104609, Longitude: -47.9315628
Município: CANAS, SP, Latitude: -22.7029347, Longitude: -45.0526508
Município: CASTILHO, SP, Latitude: -20.8695636, Longitude: -51.4877792
Município: COTIA, SP, Latitude: -23.603889, Longitude: -46.918889
Município: CRUZEIRO, SP, Latitude: -22.5783685, Longitude: -44.9642044
Município: CUNHA, SP, Latitude: -23.07753, Longitude: -44.9567436
Município: EMBU, SP, Latitude: -23.6495294, Longitude: -46.8528497
Município: EMBU DAS ARTES, SP, Latitude: -23.6495294, Longitude: -46.8528497
Município: FRANCO DA ROCHA, SP, Latitude: -23.3328038, Longitude: -46.724446
Município: GALIA, SP, Latitude: -22.2936976, Longitude: -49.5516228
Município: BRAGANCA PAULISTA, SP, Latitude: -22.9520235, Longitude: -46.5418586
Município: BARRA DO TURVO, SP, Latitude: -24.756421, Longitude: -48.5056942
Município: PINDAMONHANGABA, SP, Latitude: -22.9364, Longitude: -45.4622602
Município: BADY BASSITT, SP, Latitude: -20.9178969, Longitude: -49.4517911
Município: NOSSA SENHORA DO SOCORRO, SE, Latitude: -10.8553115, Longitude: -37.1264863
Município: PROPRIA, SE, Latitude: -10.212427, Longitude: -36.8372254
Município: RIBEIROPOLIS, SE, Latitude: -10.5405577, Longitude: -37.4368783
Município: ROSARIO DO CATETE, SE, Latitude: -10.6968099, Longitude: -37.0319184
Município: SANTA LUZIA DO ITANHY, SE, Latitude: -11.3517434, Longitude: -37.4478339
Município: SANTO AMARO DAS BROTAS, SE, Latitude: -10.7866999, Longitude: -37.054711
Município: SAO CRISTOVAO, SE, Latitude: -11.0136465, Longitude: -37.2071134
Município: SAO DOMINGOS, SE, Latitude: -10.7903753, Longitude: -37.5667586
Município: SAO FRANCISCO, SE, Latitude: -20.3604438, Longitude: -50.696603
Município: SIRIRI, SE, Latitude: -10.604584, Longitude: -37.1143295
Município: TOMAR DO GERU, SE, Latitude: -11.3752475, Longitude: -37.8413399
Município: UMBAUBA, SE, Latitude: -11.3826792, Longitude: -37.6565562
Município: APARECIDA, SP, Latitude: -22.851552, Longitude: -45.2340924
Município: ARUJA, SP, Latitude: -23.396266, Longitude: -46.3175449
Município: ATIBAIA, SP, Latitude: -23.1177393, Longitude: -46.5547861
Município: GETULINA, SP, Latitude: -21.7988557, Longitude: -49.9288096
Município: GUAICARA, SP, Latitude: -21.6213012, Longitude: -49.7962941
Município: GUAIMBE, SP, Latitude: -21.909072, Longitude: -49.89861
Município: GUARAREMA, SP, Latitude: -23.4133724, Longitude: -46.0379249
Município: MAIRIPORA, SP, Latitude: -23.3186111, Longitude: -46.5866667
Município: MARILIA, SP, Latitude: -22.2172002, Longitude: -49.9500061
Município: MAUA, SP, Latitude: -23.6669527, Longitude: -46.4616922
Município: MIRACATU, SP, Latitude: -24.2839078, Longitude: -47.4535128
Município: MIRASSOL, SP, Latitude: -20.8141411, Longitude: -49.507449
Município: MOGI DAS CRUZES, SP, Latitude: -23.5234284, Longitude: -46.1926671
Município: NOVA GRANADA, SP, Latitude: -20.5345426, Longitude: -49.3186951
Município: OCAUCU, SP, Latitude: -22.4396255, Longitude: -49.9226712
Município: ONDA VERDE, SP, Latitude: -20.6071428, Longitude: -49.2950997
Município: OSASCO, SP, Latitude: -23.5324859, Longitude: -46.7916801
Município: OURINHOS, SP, Latitude: -22.9777918, Longitude: -49.868204
Município: PALESTINA, SP, Latitude: -20.389344, Longitude: -49.4320384
Município: PARIQUERA-ACU, SP, Latitude: -24.7146891, Longitude: -47.8802361
Município: PAULICEIA, SP, Latitude: -21.3143975, Longitude: -51.8316259
Município: PEDRO DE TOLEDO, SP, Latitude: -24.2769071, Longitude: -47.23393
Município: LUPERCIO, SP, Latitude: -22.4145801, Longitude: -49.8183516
Município: LORENA, SP, Latitude: -22.7367652, Longitude: -45.1070876
Município: LINS, SP, Latitude: -21.6741873, Longitude: -49.7518932
Município: ITAQUAQUECETUBA, SP, Latitude: -23.4754492, Longitude: -46.3514033
Município: GUARATINGUETA, SP, Latitude: -22.8057839, Longitude: -45.1908926
Município: GUARULHOS, SP, Latitude: -23.4675941, Longitude: -46.5277704
Município: ICEM, SP, Latitude: -20.3413103, Longitude: -49.1970982
Município: INDAIATUBA, SP, Latitude: -23.09028, Longitude: -47.21806
Município: IPIGUA, SP, Latitude: -20.657282, Longitude: -49.3881146
Município: ITAPECERICA DA SERRA, SP, Latitude: -23.7176303, Longitude: -46.8492435
Município: JACAREI, SP, Latitude: -23.30528, Longitude: -45.96583
Município: LENCOIS PAULISTA, SP, Latitude: -22.6029897, Longitude: -48.8031367
Município: JACI, SP, Latitude: -20.8844434, Longitude: -49.5710544
Município: JACUPIRANGA, SP, Latitude: -24.703773, Longitude: -48.0060639
Município: JOSE BONIFACIO, SP, Latitude: -23.564114500000002, Longitude: -46.43473669552859
Município: JUQUIA, SP, Latitude: -24.3172209, Longitude: -47.6355618
Município: JUQUITIBA, SP, Latitude: -23.932346, Longitude: -47.0714217
Município: LAVRINHAS, SP, Latitude: -22.570047, Longitude: -44.902359
Município: BRUNOPOLIS, SC, Latitude: -27.310953, Longitude: -50.837585
Município: BRACO DO TROMBUDO, SC, Latitude: -27.358578, Longitude: -49.882145
Município: BOM RETIRO, SC, Latitude: -27.798993, Longitude: -49.486994
Município: CERRITO, RS, Latitude: -31.8546304, Longitude: -52.8151659
Município: CHARQUEADAS, RS, Latitude: -29.955012, Longitude: -51.6249195
Município: CHUI, RS, Latitude: -33.6895237, Longitude: -53.454704
Município: CIRIACO, RS, Latitude: -28.3429139, Longitude: -51.8763682
Município: COLINAS, RS, Latitude: -29.3866023, Longitude: -51.8697911
Município: COLORADO, RS, Latitude: -28.525842, Longitude: -52.99282
Município: CONDOR, RS, Latitude: -28.2058277, Longitude: -53.4844696
Município: CONSTANTINA, RS, Latitude: -27.7331711, Longitude: -52.9929561
Município: COQUEIROS DO SUL, RS, Latitude: -28.1184032, Longitude: -52.7824375
Município: CORONEL BARROS, RS, Latitude: -28.3826325, Longitude: -54.0704116
Município: CORONEL BICACO, RS, Latitude: -27.7174002, Longitude: -53.705821
Município: COXILHA, RS, Latitude: -28.1255645, Longitude: -52.2976394
Município: CRISTAL, RS, Latitude: -31.00166, Longitude: -52.0491777
Município: CRUZ ALTA, RS, Latitude: -28.645056, Longitude: -53.6058047
Município: DILERMANDO DE AGUIAR, RS, Latitude: -29.7049966, Longitude: -54.2078988
Município: DOIS IRMAOS, RS, Latitude: -29.58356, Longitude: -51.089776
Município: CERRO LARGO, RS, Latitude: -28.147498, Longitude: -54.7383681
Município: CAXIAS DO SUL, RS, Latitude: -29.1685045, Longitude: -51.1796385
Município: DOM PEDRITO, RS, Latitude: -30.983755, Longitude: -54.6746483
Município: CASEIROS, RS, Latitude: -28.2721149, Longitude: -51.6873536
Município: CACHOEIRA DO SUL, RS, Latitude: -30.0482234, Longitude: -52.8901686
Município: CACHOEIRINHA, RS, Latitude: -29.9493353, Longitude: -51.0898927
Município: CAIBATE, RS, Latitude: -28.290475, Longitude: -54.645407
Município: CAMAQUA, RS, Latitude: -30.8524752, Longitude: -51.8075619
Município: CAMPESTRE DA SERRA, RS, Latitude: -28.7188986, Longitude: -51.106379937123265
Município: CAMPO BOM, RS, Latitude: -29.678418, Longitude: -51.0572268
Município: CAMPO NOVO, RS, Latitude: -27.650487249999998, Longitude: -53.81568759295091
Município: CANDIOTA, RS, Latitude: -31.5451894, Longitude: -53.719538
Município: CANGUCU, RS, Latitude: -31.398276, Longitude: -52.6773522
Município: CANOAS, RS, Latitude: -29.9216045, Longitude: -51.1799525
Município: CAPAO BONITO DO SUL, RS, Latitude: -28.1287941, Longitude: -51.393771
Município: CAPAO DO LEAO, RS, Latitude: -31.766133, Longitude: -52.5013148
Município: CAPIVARI DO SUL, RS, Latitude: -30.1437605, Longitude: -50.5129169
Município: CARAZINHO, RS, Latitude: -28.2981634, Longitude: -52.7942363
Município: CARLOS BARBOSA, RS, Latitude: -29.2978372, Longitude: -51.5005613
Município: DOIS LAJEADOS, RS, Latitude: -28.984916, Longitude: -51.8366385
Município: DOM PEDRO DE ALCANTARA, RS, Latitude: -29.3698329, Longitude: -49.8479971
Município: BOCAINA DO SUL, SC, Latitude: -27.745494, Longitude: -49.942279
Município: GLORINHA, RS, Latitude: -29.8790534, Longitude: -50.7869437
Município: GUAIBA, RS, Latitude: -30.1130731, Longitude: -51.329442
Município: GUARANI DAS MISSOES, RS, Latitude: -28.1445277, Longitude: -54.5570355
Município: HULHA NEGRA, RS, Latitude: -31.4074739, Longitude: -53.8699535
Município: HUMAITA, RS, Latitude: -27.5660564, Longitude: -53.9719817
Município: IBIRAPUITA, RS, Latitude: -28.6226503, Longitude: -52.5170577
Município: IBIRUBA, RS, Latitude: -28.630161, Longitude: -53.096124
Município: IJUI, RS, Latitude: -28.3878734, Longitude: -53.9201692
Município: IPIRANGA DO SUL, RS, Latitude: -27.9367583, Longitude: -52.4251556
Município: IRAI, RS, Latitude: -27.1955392, Longitude: -53.256791
Município: ITAARA, RS, Latitude: -29.6071165, Longitude: -53.7557841
Município: ITAQUI, RS, Latitude: -29.1222037, Longitude: -56.5551258
Município: IVOTI, RS, Latitude: -29.5934057, Longitude: -51.1599403
Município: JABOTICABA, RS, Latitude: -27.6311203, Longitude: -53.2794089
Município: JAGUARAO, RS, Latitude: -32.5662724, Longitude: -53.3765705
Município: JAGUARI, RS, Latitude: -29.4695286, Longitude: -54.66003353501375
Município: GRAVATAI, RS, Latitude: -29.9440222, Longitude: -50.9930938
Município: GENTIL, RS, Latitude: -28.4319165, Longitude: -52.0348748
